,Current Ranking,University Name,Overall Score,"City, Country",2021 Ranking,2020 Ranking,2019 Ranking,Status,Research Output,Student/Faculty Ratio,Scholarships,International Students,Size,Total Faculty
16,17,Tsinghua University,89,"Beijing,China (Mainland)",15,16,17,Public,Very High,6,,"5,420",XL,"6,174"
17,18,Peking University,88.8,"Beijing,China (Mainland)",23,22,30,Public,Very High,6,,"5,436",XL,"5,302"
18,19,Columbia University,88.7,"New York City,United States",19,18,16,Private,Very High,4,Yes,"11,252",L,"7,087"
19,20,Princeton University,88.6,"Princeton,United States",14,13,13,Private,Very High,8,,"1,912",M,"1,050"
20,21,Cornell University,88.3,"Ithaca,United States",18,14,14,Private,Very High,8,Yes,"5,675",L,"2,843"
21,22,The University of Hong Kong,86.3,"Hong Kong,Hong Kong SAR",22,25,25,Public,Very High,7,Yes,"8,311",L,"2,944"
22,=23,The University of Tokyo,86.2,"Tokyo,Japan",24,22,23,Public,Very High,6,,"3,983",L,"4,473"
23,=23,University of Michigan-Ann Arbor,86.2,"Ann Arbor,United States",21,21,20,Public,Very High,6,,"7,341",XL,"7,132"
24,25,Johns Hopkins University,85.9,"Baltimore,United States",25,24,21,Private,Very High,3,Yes,"5,070",L,"4,855"
25,26,University of Toronto,85.3,"Toronto,Canada",25,29,28,Public,Very High,8,Yes,"27,536",XL,"9,881"
26,=27,McGill University,84,"Montreal,Canada",31,35,33,Public,Very High,7,Yes,"10,827",L,"3,876"
27,=27,The Australian National University,84,"Canberra,Australia",31,29,24,Public,Very High,9,Yes,"6,496",L,"1,763"
28,=27,The University of Manchester,84,"Manchester,United Kingdom",27,27,29,Public,Very High,8,Yes,"16,079",XL,"4,889"
29,30,Northwestern University,82.8,"Evanston,United States",29,31,34,Private,Very High,5,Yes,"3,846",L,"3,652"
30,31,Fudan University,82.6,"Shanghai,China (Mainland)",34,40,44,Public,Very High,6,,"5,322",L,"4,526"
31,32,"University of California, Berkeley (UCB)",82.5,"Berkeley,United States",30,28,27,Public,Very High,11,,"9,428",XL,"3,701"
32,33,Kyoto University,82.3,"Kyoto,Japan",38,33,35,Public,Very High,6,,"2,863",L,"3,911"
33,34,The Hong Kong University of Science and Technology,82.2,"Hong Kong,Hong Kong SAR",27,32,37,Public,Very High,8,Yes,"3,033",M,
34,35,King's College London,82,"London,United Kingdom",31,33,31,Public,Very High,7,Yes,"15,075",L,"4,216"
35,36,Seoul National University,81.7,"Seoul,South Korea",37,37,36,Public,Very High,7,,"1,914",L,"3,859"
36,37,The University of Melbourne,81.4,"Parkville,Australia",41,38,39,Public,Very High,13,Yes,"21,840",XL,"3,660"
37,38,The University of Sydney,80.4,"Sydney,Australia",40,42,42,Public,Very High,13,Yes,"25,940",XL,"3,571"
38,39,The Chinese University of Hong Kong (CUHK),80.3,"Hong Kong,Hong Kong SAR",43,46,49,Public,Very High,8,Yes,"6,062",L,"2,201"
39,40,"University of California, Los Angeles (UCLA)",79.7,"Los Angeles,United States",36,35,32,Public,Very High,10,,"6,140",XL,"4,487"
40,41,KAIST - Korea Advanced Institute of Science & Technology,79.1,"Daejeon,South Korea",39,41,40,Public,Very High,8,,869,M,"1,307"
41,42,New York University (NYU),78.9,"New York City,United States",35,39,43,Private,Very High,6,Yes,"16,218",XL,"7,874"
42,43,The University of New South Wales (UNSW Sydney),77.7,"Sydney,Australia",44,43,45,Public,Very High,14,Yes,"21,603",XL,"3,219"
43,44,Université PSL,77.6,France,52,53,50,Public,Very High,5,,"4,922",L,"3,914"
44,45,Zhejiang University,77.4,"Hangzhou,China (Mainland)",53,54,68,Public,Very High,7,,"9,177",XL,"6,065"
45,46,University of British Columbia,77.1,"Vancouver,Canada",45,51,47,Public,Very High,9,Yes,"15,399",XL,"6,201"
46,47,The University of Queensland,76.6,"Brisbane City,Australia",46,47,48,Public,Very High,12,Yes,"22,241",XL,"3,513"
47,48,"University of California, San Diego (UCSD)",76.1,"San Diego,United States",54,45,41,Public,Very High,8,,"8,567",XL,"4,545"
48,=49,Institut Polytechnique de Paris,75.9,"Palaiseau Cedex,France",-,-,-,Public,Very High,6,Yes,"2,413",M,"1,057"
49,49,The London School of Economics and Political Science (LSE),75.8,"London,United Kingdom",49,44,38,Public,Very High,10,Yes,"8,274",M,"1,172"
50,=50,Shanghai Jiao Tong University,75.6,"Shanghai,China (Mainland)",47,60,=59,Public,Very High,9,,"6,371",XL,"4,386"
51,=50,Technical University of Munich,75.6,"Munich,Germany",50,55,61,Public,Very High,5,,"11,447",XL,"6,663"
52,52,Duke University,75.2,"Durham,United States",42,25,26,Private,Very High,3,Yes,"3,445",L,"5,673"
53,=53,Carnegie Mellon University,74.6,"Pittsburgh,United States",51,48,46,Private,Very High,9,Yes,"5,739",L,"1,534"
54,=53,City University of Hong Kong,74.6,"Hong Kong,Hong Kong SAR",48,52,55,Public,Very High,6,,"5,331",M,"1,483"
55,55,University of Amsterdam,73.8,"Amsterdam,Netherlands",61,64,57,Public,Very High,11,Yes,"7,969",XL,"2,829"
56,56,Tokyo Institute of Technology (Tokyo Tech),73.5,"Tokyo,Japan",56,58,58,Public,Very High,7,Yes,"1,622",M,"1,492"
57,57,Delft University of Technology,73.1,"Delft,Netherlands",57,50,52,Public,Very High,10,,"6,104",L,"2,041"
58,58,Monash University,72.2,"Melbourne,Australia",55,58,=59,Public,Very High,15,Yes,"31,049",XL,"3,852"
59,60,Brown University,71.3,"Providence,United States",60,57,56,Private,Very High,7,Yes,"2,002",M,"1,389"
60,61,The University of Warwick,71.2,"Coventry,United Kingdom",62,62,54,Public,Very High,9,Yes,"10,459",L,"2,634"
61,62,University of Bristol,71,"Bristol,United Kingdom",58,49,51,Public,Very High,8,Yes,"7,483",L,"3,210"
62,63,Ruprecht-Karls-Universität Heidelberg,70.8,"Heidelberg,Germany",64,66,64,Public,Very High,5,,"4,048",L,"4,100"
63,64,Ludwig-Maximilians-Universität München,70.1,"Munich,Germany",63,63,62,Public,Very High,9,,"5,958",XL,"3,914"
64,65,Universiti Malaya (UM),69.8,"Kuala Lumpur,Malaysia",59,70,=87,Public,Very High,8,,"3,340",L,"2,386"
65,66,The Hong Kong Polytechnic University,69.1,"Hong Kong,Hong Kong SAR",75,91,106,Public,Very High,7,Yes,"5,774",L,"2,822"
66,67,University of Texas at Austin,68.4,"Austin,United States",71,65,63,Public,Very High,17,,"4,953",XL,"2,887"
67,68,National Taiwan University (NTU),68.2,"Taipei City,Taiwan",66,69,72,Public,Very High,10,,"5,058",L,"2,939"
68,69,Universidad de Buenos Aires (UBA),67.9,"Buenos Aires,Argentina",66,74,73,Public,Very High,7,Yes,"29,516",XL,"16,103"
69,=70,KU Leuven,67.2,"Leuven,Belgium",84,80,81,Public,Very High,18,Yes,"8,485",XL,"2,677"
70,=70,University of Zurich,67.2,"Zürich,Switzerland",69,76,78,Public,Very High,6,,"5,044",L,"3,761"
71,72,Sorbonne University,67.1,France,83,77,=75,Public,Very High,9,,"8,782",XL,"4,680"
72,73,University of Glasgow,66.8,"Glasgow,United Kingdom",77,67,=69,Public,Very High,9,Yes,"11,065",L,"3,314"
73,74,Korea University,66.3,"Seoul,South Korea",69,83,86,Private,Very High,6,,"3,325",L,"4,026"
74,=75,Osaka University,66.2,"Osaka City,Japan",72,71,67,Public,Very High,7,,"2,268",L,"3,127"
75,=75,University of Wisconsin-Madison,66.2,"Madison,United States",65,56,53,Public,Very High,8,,"5,737",XL,"5,166"
